AF,MZR,Mazar-e Sharif Airport,Mazar-e Sharif,
AF,OAA,Shank Air Base Airport,Shank,
AF,OAH,Shindand Air Base Airport,Shindand,
AF,OAI,Bagram Airport,Bagram,
AF,OAS,Sharana Air Base Airport,Sharana,
AF,OAZ,Camp Bastion Airport,Camp Bastion,
AF,OLR,Salerno Air Base Airport,Salerno,
AF,SBF,Sardeh Band Airport,Sardeh Band,
AF,SGA,Sheghnan Airport,Sheghnan,
AF,TII,Tarin Kot Tereen Airport,Tarin Kot,
AF,TQN,Taloqan Airport,Taloqan,
AF,UND,Kunduz Airport,Kunduz,
AF,URN,Urgun Airport,Urgun,
AF,URZ,Uruzgan Airport,Uruzgan,
AF,ZAJ,Zaranj Airport,Zaranj,
AG,ANU,Antigua V.C. Bird Intl Airport,Antigua,
AG,BBQ,Barbuda Codrington Airport,Barbuda,
AI,AXA,Anguilla Clayton J. Lloyd Intl Airport,Anguilla,
AL,TIA,Tirana Nene Tereza Intl Airport,Tirana,
AM,EVN,Yerevan Zvartnots Intl Airport,Yerevan,
AM,LWN,Gyumri Shirak Airport,Gyumri,
AO,ANL,Andulo Airport,Andulo,
AO,ARZ,N'zeto Airport,N'zeto,
AO,AZZ,Ambriz Airport,Ambriz,
AO,BUG,Benguela 17 de Setembro Airport,Benguela,
AO,CAB,Cabinda Airport,Cabinda,
AO,CAV,Cazombo Airport,Cazombo,
AO,CBT,Catumbela Airport,Catumbela,
AO,CEO,Waku-Kungo Airport,Waku-Kungo,
AO,CFF,Cafunfo Airport,Cafunfo,
AO,CNZ,Cangamba Airport,Cangamba,
AO,CTI,Cuito Cuanavale Airport,Cuito Cuanavale,
AO,DRC,Dirico Airport,Dirico,
AO,DUE,Dundo Airport,Dundo,
AO,GGC,Lumbala N'guimbo Airport,Lumbala N' guimbo,
AO,GXG,Negage Airport,Negage,
AO,JMB,Jamba Airport,Jamba,
AO,KNP,Capanda Airport,Capanda,
AO,LAD,Luanda 4 de Fevereiro Airport,Luanda,
AO,LBZ,Lucapa Airport,Lucapa,
AO,LLT,Lobito Airport,Lobito,
AO,LUO,Luena Airport,Luena,
AO,LZM,Luzamba Airport,Luzamba,
AO,MEG,Malanje Airport,Malanje,
AO,MSZ,Namibe Yuri Gagarin Airport,Namibe,
AO,NDD,Sumbe Airport,Sumbe,
AO,NDF,N'dalatando Airport,N'dalatando,
AO,NOV,Huambo Albano Machado Airport,Huambo,
AO,NZA,Nzagi Airport,Nzagi,
AO,PBN,Porto Amboim Airport,Porto Amboim,
AO,PGI,Chitato Airport,Chitato,
AO,SDD,Lubango Mukanka Airport,Lubango,
AO,SPP,Menongue Airport,Menongue,
AO,SSY,M'banza Congo Airport,M'banza Congo,
AO,SVP,Kuito Airport,Kuito,
AO,SZA,Soyo Airport,Soyo,
AO,UAL,Luau Airport,Luau,
AO,UGO,Uige Airport,Uige,
AO,VHC,Saurimo Airport,Saurimo,
AO,VPE,Ondjiva Airport,Ondjiva,
AO,XGN,Xangongo Airport,Xangongo,
AQ,TNM,King George Island Tte. R. Marsh Martin,King George Island,
AQ,UGL,Union Glacier,antartica,
AR,AEP,Buenos Aires Jorge Newbery Airport,Buenos Aires,BA
AR,AFA,San Rafael Airport,San Rafael,MD
AR,AOL,Paso de los Libres Airport,Paso de los Libres,CR
AR,APZ,Zapala Airport,Zapala,NE
AR,ARR,Alto Rio Senguer Airport,Alto Rio Senguer,CB
AR,BBE,Buenos Aires Fluvial Bus Station,Buenos Aires,BA
AR,BHI,Bahia Blanca Comandante Espora Airport,Bahia Blanca,BA
AR,BRC,San Carlos Bariloche Airport,San Carlos Bariloche,RN
AR,BUE,Buenos Aires Metropolitan Area,Buenos Aires,BA
AR,CCT,Catriel Colonia Catriel Airport,Catriel,RN
AR,CLX,Clorinda Airport,Clorinda,FO
AR,CNQ,Corrientes Airport,Corrientes,CR
AR,CNT,Charata Airport,Charata,CH
AR,COC,Concordia Comodoro Pierrestegui Airport,Concordia,ER
AR,COR,Cordoba A.L.V. Taravella Airport,Cordoba,CD
AR,CPC,Aviador Carlos Campos Airport,San Martin los Andes,NE
AR,CPG,Carmen de Patagones Airport,Carmen de Patagones,BA
AR,CPZ,Cipolletti Bus Station,Cipolletti,RN
AR,CRD,Comodoro Rivadavia General E. Mosconi,Comodoro Rivadavia,CB
AR,CRR,Ceres Airport,Ceres,SF
AR,CSZ,Coronel Suarez Brigadier Hector Ruiz,Coronel Suarez,BA
AR,CTC,Catamarca Airport,Catamarca,CA
AR,CUT,Cutral-Co Airport,Cutral-Co,NE
AR,CVH,Caviahue Airport,Caviahue,NE
AR,CVI,Caleta Olivia Airport,Caleta Olivia,SC
AR,EHL,El Bolson Airport,El Bolson,RN
AR,ELO,Eldorado Airport,Eldorado,MI
AR,EMX,El Maiten Airport,El Maiten,CB
AR,EPA,El Palomar Airport,El Palomar,BA
AR,EQS,Esquel Airport,Esquel,CB
AR,EZE,Buenos Aires Ministro Pistarini Airport,Buenos Aires,BA
AR,FMA,Formosa Airport,Formosa,FO
AR,FTE,El Calafate Comandante A. Tola Airport,El Calafate,SC
AR,GGS,Gobernador Gregores Airport,Gobernador Gregores,SC
AR,GHU,Gualeguaychu Airport,Gualeguaychu,ER
AR,GNR,General Roca Dr. Arturo U. Illia Airport,General Roca,RN
AR,GPO,General Pico Airport,General Pico,LP
AR,HOS,Chos Malal Airport,Chos Malal,NE
AR,IGB,Ingeniero Jacobacci Airport,Ingeniero Jacobacci,RN
AR,IGR,Iguazu Cataratas del Iguazu Airport,Iguazu,MI
AR,IRJ,La Rioja Captain V.A. Almonacid Airport,La Rioja,LR
AR,JNI,Junin Airport,Junin,BA
AR,JSM,Jose de San Martin Airport,Jose de San Martin,CB
AR,JUJ,Jujuy Gobernador H. Guzman Airport,Jujuy,PJ
AR,LCM,La Cumbre Airport,La Cumbre,CD
AR,LCP,Loncopue Airport,Loncopue,NE
AR,LGS,Malargue Comodoro D.R. Salomon Airport,Malargue,MD
AR,LHS,Las Heras Airport,Las Heras,SC
AR,LLS,Las Lomitas Alferez A. Rodriguez Airport,Las Lomitas,FO
AR,LLZ,Allen Bus Station,Allen,RN
AR,LMD,Los Menucos Airport,Los Menucos,RN
AR,LPG,La Plata Airport,La Plata,BA
AR,LUQ,San Luis D. Cesar Raul Ojeda Airport,San Luis,SL
AR,MCS,Monte Caseros Airport,Monte Caseros,CR
AR,MDQ,Mar del Plata Astor Piazzola Airport,Mar del Plata,BA
AR,MDX,Mercedes Airport,Mercedes,CR
AR,MDZ,Mendoza El Plumerillo Airport,Mendoza,MD
AR,MJR,Miramar Airport,Miramar,BA
AR,MQD,Maquinchao Airport,Maquinchao,RN
AR,NCJ,Sunchales Airport,Sunchales,SF
AR,NEC,Necochea Airport,Necochea,BA
AR,NQN,Neuquen Presidente Peron Airport,Neuquen,NE
AR,OES,San Antonio Oeste Antoine de St Exupery,San Antonio Oeste,RN
AR,OLN,Sarmiento Lago Musters Airport,Sarmiento,CB
AR,ORA,Oran Airport,Oran,SA
AR,OVR,Olavarria Airport,Olavarria,BA
AR,OYA,Goya Airport,Goya,CR
AR,OYO,Tres Arroyos Airport,Tres Arroyos,BA
AR,PEH,Pehuajo Comodoro P. Zanni Airport,Pehuajo,BA
AR,PMQ,Perito Moreno Airport,Perito Moreno,SC
AR,PMY,Puerto Madryn El Tehuelche Airport,Puerto Madryn,CB
AR,PRA,Parana General Urquiza Airport,Parana,ER
AR,PRQ,Pres. Roque Saenz Pena Airport,Pres. Roque Saenz Pena,CH
AR,PSS,Posadas Jose de San Martin Airport,Posadas,MI
AR,PUD,Puerto Deseado Airport,Puerto Deseado,SC
AR,QLV,Olivos Off-line Point,Olivos,BA
AR,QPQ,Pinamar Off-line Point,Pinamar,BA
AR,QRF,Bragado Off-line Point,Bragado,BA
AR,RAF,Rafaela Airport,Rafaela,SF
AR,RCQ,Reconquista Airport,Reconquista,SF
AR,RCU,Rio Cuarto Las Higueras Airport,Rio Cuarto,CD
AR,RDS,Rincon de Los Sauces Airport,Rincon de los Sauces,NE
AR,REL,Trelew Almirante M.A. Zar Airport,Trelew,CB
AR,RES,Resistencia Airport,Resistencia,CH
AR,RGA,Rio Grande Hermes Quijada Airport,Rio Grande,TF
AR,RGL,Rio Gallegos Piloto N. Fernandez Airport,Rio Gallegos,SC
AR,RHD,Termas de Rio Hondo Airport,Termas de Rio Hondo,SE
AR,RLO,Merlo Valle del Conlara Airport,Merlo,SL
AR,ROS,Rosario Islas Malvinas Airport,Rosario,SF
AR,ROY,Rio Mayo Airport,Rio Mayo,CB
AR,RSA,Santa Rosa Airport,Santa Rosa,LP
AR,RYO,Rio Turbio Airport,Rio Turbio,SC
AR,RZA,Puerto Santa Cruz Santa Cruz Airport,Puerto Santa Cruz,SC
AR,SDE,A. de la Paz Aragonez Airport,Santiago del Estero,SE
AR,SFN,Santa Fe Sauce Viejo Airport,Santa Fe,SF
AR,SGV,Sierra Grande Airport,Sierra Grande,RN
AR,SLA,Salta Martin M. de Guemes Airport,Salta,SA
AR,SST,Santa Teresita Airport,Santa Teresita,BA
AR,SZQ,Saenz Pena Off-line Point,Saenz Pena,BA
AR,TDL,Tandil Airport,Tandil,BA
AR,TTG,Tartagal Gral. Enrique Mosconi Airport,Tartagal,SA
AR,TUC,Tucuman Benjamin Matienzo Airport,Tucuman,TU
AR,UAQ,San Juan Domingo F. Sarmiento Airport,San Juan,SJ
AR,ULA,San Julian Capitan J.D. Vazquez Airport,San Julian,SC
AR,USH,Ushuaia Malvinas Argentinas Airport,Ushuaia,TF
AR,UZU,Curuzu Cuatia Airport,Curuzu Cuatia,CR
AR,VCF,Valcheta Airport,Valcheta,RN
AR,VDM,Viedma Gobernador E. Castello Airport,Viedma,RN
AR,VDR,Villa Dolores Airport,Villa Dolores,CD
AR,VGS,General Villegas Airport,General Villegas,BA
AR,VLG,Villa Gesell Airport,Villa Gesell,BA
AR,VME,Villa Mercedes Villa Reynolds Airport,Villa Mercedes,SL
AR,XMV,Pichanal Off-line Point,Pichanal,SA
AR,XMX,Ledesma Off-line Point,Ledesma,PJ
AR,XOS,Mosconi Off-line Point,Mosconi,SA
AR,XPD,San Pedro Off-line Point,San Pedro,PJ
AR,ZAI,Embarcacion Off-line Point,Embarcacion,SA
AS,FTI,Fitiuta Airport,Fitiuta,
AS,OFU,Ofu Island Airport,Ofu Island,
AS,PPG,Pago Pago International Airport,Pago Pago,
AS,TAV,Tau Airport,Tau,
AT,ANT,St Anton Heliport,St Anton,
AT,GGZ,Graz Railway Station,Graz,
AT,GRZ,Graz Airport Airport,Graz,
AT,HOH,Hohenems/Dornbirn Airport Airport,Hohenems/Dornbirn,
AT,INN,Innsbruck Airport Airport,Innsbruck,
AT,IOB,Innsbruck Railway Station,Innsbruck,
AT,KGV,Klagenfurt Railway Station,Klagenfurt,
AT,KLU,Klagenfurt Airport,Klagenfurt,
AT,LNZ,Linz Blue Danube Airport,Linz,
AT,LZS,Linz Hauptbahnhof Railway Stn,Linz,
AT,POK,St Polten Railway Station,St Polten,
AT,QDI,Hohenems/Dornbirn Dornbirn Bus Station,Hohenems/Dornbirn,
AT,QLX,Lauterach Off-line Point,Lauterach,
AT,QVL,Villach Railway Station,Villach,
AT,QXZ,Woergl Bus Station,Woergl,
AT,SZG,Salzburg W.A. Mozart Airport,Salzburg,
AT,VIE,Vienna International Airport,Vienna,
AT,XGZ,Bregenz Railway Station,Bregenz,
AT,XJS,Kitzbuehel Railway Station,Kitzbuehel,
AT,XOH,Kitzbuehel Bus Station,Kitzbuehel,
AT,XOI,Ischgl Bus Station,Ischgl,
AT,XOO,Soelden Bus Station,Soelden,
AT,XOV,St Anton Bus Station,St Anton,
AT,XOW,Seefeld Bus Station,Seefeld,
AT,XWC,Vienna Hauptbahnhof Railway Stn,Vienna,
AT,XWT,Vienna Mitte CAT Railway Stn,Vienna,
AT,XWW,Vienna Westbahnhof Railway Stn,Vienna,
AT,ZRS,Zuers/Lech Heliport,Zuers/Lech,
AT,ZSB,Salzburg Hbf Railway Station,Salzburg,
AU,AAB,Arrabury Airport,Arrabury,QL
AU,ABG,Abingdon Downs Airport,Abingdon Downs,QL
AU,ABH,Alpha Airport,Alpha,QL
AU,ABM,Bamaga Northern Peninsula Airport,Bamaga,QL
AU,ABX,Albury Airport,Albury,NS
AU,ADL,Adelaide International Airport,Adelaide,SA
AU,ADO,Andamooka Airport,Andamooka,SA
AU,AGW,Agnew Airport,Agnew,QL
AU,ALH,Albany Airport,Albany,WA
AU,AMT,Amata Airport,Amata,SA
AU,AMX,Ammaroo Airport,Ammaroo,NT
AU,ANZ,Angus Downs Station Airport,Angus Downs Station,NT
AU,ARM,Armidale Airport,Armidale,NS
AU,ARY,Ararat Airport,Ararat,VI
AU,ASP,Alice Springs Airport Airport,Alice Springs,NT
AU,AUD,Augustus Downs Airport,Augustus Downs,QL
AU,AUU,Aurukun Airport,Aurukun,QL
AU,AVG,Auvergne Station Airport,Auvergne Station,NT
AU,AVV,Melbourne Avalon Airport,Melbourne,VI
AU,AWN,Alton Downs Airport,Alton Downs,SA
AU,AWP,Austral Downs Station Airport,Austral Downs Station,NT
AU,AXC,Aramac Airport,Aramac,QL
AU,AXL,Alexandria Station Airport,Alexandria Station,NT
AU,AYD,Alroy Downs Airport,Alroy Downs,NT
AU,AYL,Anthony Lagoon Airport,Anthony Lagoon,NT
AU,AYQ,Ayers Rock Connellan Airport,Ayers Rock,NT
AU,AYR,Ayr Airport,Ayr,QL
AU,BBL,Ballera Airport,Ballera,QL
AU,BCI,Barcaldine Airport,Barcaldine,QL
AU,BCK,Bolwarra Airport,Bolwarra,QL
AU,BCZ,Bickerton Island Airport,Bickerton Island,NT
AU,BDB,Bundaberg Airport,Bundaberg,QL
AU,BDD,Badu Island Airport,Badu Island,QL
AU,BDW,Bedford Downs Airport,Bedford Downs,WA
AU,BEE,Beagle Bay Airport,Beagle Bay,WA
AU,BEO,Newcastle Aeropelican Airport,Newcastle,NS
AU,BEU,Bedourie Airport,Bedourie,QL
AU,BFC,Bloomfield River Airport,Bloomfield River,QL
AU,BHQ,Broken Hill Airport,Broken Hill,NS
AU,BHS,Bathurst Airport,Bathurst,NS
AU,BHT,Brighton Downs Airport,Brighton Downs,QL
AU,BIP,Bulimba Airport,Bulimba,QL
AU,BIW,Billiluna Airport,Billiluna,WA
AU,BKP,Barkly Downs Airport,Barkly Downs,QL
AU,BKQ,Blackall Airport,Blackall,QL
AU,BLN,Benalla Airport,Benalla,VI
AU,BLS,Bollon Airport,Bollon,QL
AU,BLT,Blackwater Airport,Blackwater,QL
AU,BME,Broome International Airport,Broome,WA
AU,BMP,Brampton Island Airport,Brampton Island,QL
AU,BNE,Brisbane International Airport,Brisbane,QL
AU,BNK,Ballina Byron Gateway Airport,Ballina,NS
AU,BOX,Borroloola Airport,Borroloola,NT
AU,BQB,Busselton Airport,Busselton,WA
AU,BQL,Boulia Airport,Boulia,QL
AU,BQW,Balgo Hill Airport,Balgo Hill,WA
AU,BRJ,Bright Airport,Bright,VI
AU,BRK,Bourke Airport,Bourke,NS
AU,BRT,Bathurst Island Airport,Bathurst Island,NT
AU,BSJ,Bairnsdale Airport,Bairnsdale,VI
AU,BTD,Brunette Downs Airport,Brunette Downs,NT
AU,BTX,Betoota Airport,Betoota,QL
AU,BUC,Burketown Airport,Burketown,QL
AU,BUY,Bunbury Airport,Bunbury,WA
AU,BVI,Birdsville Airport,Birdsville,QL
AU,BVW,Batavia Downs Airport,Batavia Downs,QL
AU,BVZ,Beverley Springs Airport,Beverley Springs,WA
AU,BWB,Barrow Island Airport,Barrow Island,WA
AU,BWQ,Brewarrina Airport,Brewarrina,NS
AU,BWT,Burnie Wynyard Airport,Burnie,TS
AU,BWU,Sydney Bankstown Airport,Sydney,NS
AU,BXF,Bellburn Airport,Bellburn,WA
AU,BXG,Bendigo Airport,Bendigo,VI
AU,BYP,Barimunya Airport,Barimunya,WA
AU,BYX,Baniyala Airport,Baniyala,NT
AU,BZD,Balranald Airport,Balranald,NS
AU,BZP,Bizant Airport,Bizant,QL
AU,CAZ,Cobar Airport,Cobar,NS
AU,CBC,Cherrabun Airport,Cherrabun,WA
AU,CBI,Cape Barren Island Airport,Cape Barren Island,TS
AU,CBR,Canberra Airport,Canberra,AC
AU,CBX,Condobolin Airport,Condobolin,NS
AU,CBY,Canobie Airport,Canobie,QL
AU,CCL,Chinchilla Airport,Chinchilla,QL
AU,CCW,Cowell Airport,Cowell,SA
AU,CDA,Cooinda Airport,Cooinda,NT
AU,CDQ,Croydon Airport,Croydon,QL
AU,CDU,Camden Airport,Camden,NS
AU,CED,Ceduna Airport,Ceduna,SA
AU,CES,Cessnock Airport,Cessnock,NS
AU,CFH,Clifton Hills Airport,Clifton Hills,SA
AU,CFI,Camfield Station Airport,Camfield Station,NT
AU,CFP,Carpentaria Downs Airport,Carpentaria Downs,QL
AU,CFS,Coffs Harbour Airport,Coffs Harbour,NS
AU,CGV,Caiguna Airport,Caiguna,WA
AU,CIE,Collie Airport,Collie,WA
AU,CJF,Coondewanna Airport,Coondewanna,WA
AU,CKI,Croker Island Airport,Croker Island,NT
AU,CKW,Christmas Creek Mine Airport,Christmas Creek Mine,WA
AU,CLH,Coolah Airport,Coolah,NS
AU,CMA,Cunnamulla Airport,Cunnamulla,QL
AU,CMD,Cootamundra Airport,Cootamundra,NS
AU,CML,Camooweal Airport,Camooweal,QL
AU,CMQ,Clermont Airport,Clermont,QL
AU,CNB,Coonamble Airport,Coonamble,NS
AU,CNC,Coconut Island Airport,Coconut Island,QL
AU,CNJ,Cloncurry Airport,Cloncurry,QL
AU,CNS,Cairns International Airport,Cairns,QL
AU,COB,Coolibah Airport,Coolibah,NT
AU,COJ,Coonabarabran Airport,Coonabarabran,NS
AU,COY,Coolawanyah Station Airport,Coolawanyah Station,WA
AU,CPD,Coober Pedy Airport,Coober Pedy,SA
AU,CQP,Cape Flattery Airport,Cape Flattery,QL
AU,CRB,Collarenebri Airport,Collarenebri,NS
AU,CRH,Cherrabah Airport,Cherrabah,QL
AU,CRJ,Coorabie Airport,Coorabie,SA
AU,CRY,Carlton Hill Airport,Carlton Hill,WA
AU,CSD,Cresswell Downs Airport,Cresswell Downs,NT
AU,CSI,Casino Airport,Casino,NS
AU,CTL,Charleville Airport,Charleville,QL
AU,CTN,Cooktown Airport,Cooktown,QL
AU,CTR,Cattle Creek Airport,Cattle Creek,NT
AU,CUD,Caloundra Airport,Caloundra,QL
AU,CUG,Cudal Airport,Cudal,NS
AU,CUQ,Coen Airport,Coen,QL
AU,CUY,Cue Airport,Cue,WA
AU,CVC,Cleve Airport,Cleve,SA
AU,CVQ,Carnarvon Airport,Carnarvon,WA
AU,CWR,Cowarie Airport,Cowarie,SA
AU,CWT,Cowra Airport,Cowra,NS
AU,CWW,Corowa Airport,Corowa,NS
AU,CXQ,Christmas Creek Stn Airport,Christmas Creek Stn,WA
AU,CXT,Charters Towers Airport,Charters Towers,QL
AU,CYG,Corryong Airport,Corryong,VI
AU,CZY,Cluny Airport,Cluny,QL
AU,DAJ,Dauan Island Heliport,Dauan Island,QL
AU,DBO,Dubbo City Airport Airport,Dubbo,NS
AU,DBY,Dalby Airport,Dalby,QL
AU,DCN,Derby RAAF Curtin Airport,Derby,WA
AU,DDI,Daydream Island Heliport,Daydream Island,QL
AU,DDN,Delta Downs Airport,Delta Downs,QL
AU,DFP,Drumduff Airport,Drumduff,QL
AU,DGD,Dalgaranga Gold Mine Airport,Dalgaranga Gold Mine,WA
AU,DGE,Mudgee Airport,Mudgee,NS
AU,DHD,Durham Downs Airport,Durham Downs,QL
AU,DKI,Dunk Island Airport,Dunk Island,QL
AU,DKV,Docker River Airport,Docker River,NT
AU,DLK,Dulkaninna Airport,Dulkaninna,SA
AU,DLV,Delissaville Airport,Delissaville,NT
AU,DMD,Doomadgee Airport,Doomadgee,QL
AU,DNB,Dunbar Airport,Dunbar,QL
AU,DNG,Doongan Airport,Doongan,WA
AU,DNM,Denham Airport,Denham,WA
AU,DNQ,Deniliquin Airport,Deniliquin,NS
AU,DOX,Dongara Airport,Dongara,WA
AU,DPO,Devonport Airport,Devonport,TS
AU,DRB,Derby Derby Airport Airport,Derby,WA
AU,DRD,Dorunda Airport,Dorunda,QL
AU,DRN,Dirranbandi Airport,Dirranbandi,QL
AU,DRR,Durrie Airport,Durrie,QL
AU,DRW,Darwin International Airport,Darwin,NT
AU,DRY,Drysdale River Airport,Drysdale River,WA
AU,DVP,Davenport Downs Airport,Davenport Downs,QL
AU,DVR,Daly River Mission Airport,Daly River Mission,NT
AU,DXD,Dixie Airport,Dixie,QL
AU,DYA,Dysart Airport,Dysart,QL
AU,DYM,Diamantina Lakes Airport,Diamantina Lakes,QL
AU,DYW,Daly Waters Airport,Daly Waters,NT
AU,ECH,Echuca Airport,Echuca,VI
AU,EDD,Erldunda Airport,Erldunda,NT
AU,EDR,Pormpuraaw Airport,Pormpuraaw,QL
AU,EIH,Einasleigh Airport,Einasleigh,QL
AU,EKD,Elkedra Airport,Elkedra,NT
AU,ELC,Elcho Island Airport,Elcho Island,NT
AU,EMD,Emerald Airport,Emerald,QL
AU,ENB,Eneabba Airport,Eneabba,WA
AU,EPR,Esperance Airport,Esperance,WA
AU,ERB,Ernabella Airport,Ernabella,SA
AU,ERQ,Elrose Mine Airport,Elrose Mine,QL
AU,ETD,Etadunna Airport,Etadunna,SA
AU,EUC,Eucla Airport,Eucla,WA
AU,EVD,Eva Downs Airport,Eva Downs,NT
AU,EVH,Evans Head Airport,Evans Head,NS
AU,EXM,Exmouth Airport,Exmouth,WA
AU,FIK,Finke Airport,Finke,NT
AU,FIZ,Fitzroy Crossing Airport,Fitzroy Crossing,WA
AU,FLC,Falls Creek Heliport,Falls Creek,VI
AU,FLS,Flinders Island Airport,Flinders Island,TS
AU,FLY,Finley Airport,Finley,NS
AU,FOS,Forrest Airport,Forrest,WA
AU,FOT,Forster Airport,Forster,NS
AU,FRB,Forbes Airport,Forbes,NS
AU,FSL,Fossil Downs Station Airport,Fossil Downs Station,WA
AU,FVL,Flora Valley Airport,Flora Valley,WA
AU,FVR,Forrest River Mission Airport,Forrest River Mission,WA
AU,GAH,Gayndah Airport,Gayndah,QL
AU,GBL,South Goulburn Island Airport,South Goulburn Island,NT
AU,GBP,Gamboola Airport,Gamboola,QL
AU,GBV,Gibb River Airport,Gibb River,WA
AU,GBW,Ginbata Airport,Ginbata,WA
AU,GDD,Gordon Downs Airport,Gordon Downs,WA
AU,GEE,George Town Airport,George Town,TS
AU,GET,Geraldton Airport,Geraldton,WA
AU,GEX,Geelong Airport,Geelong,VI
AU,GFE,Grenfell Airport,Grenfell,NS
AU,GFF,Griffith Airport,Griffith,NS
AU,GFN,Grafton Clarence Valley Airport,Grafton,NS
AU,GGD,Gregory Downs Airport,Gregory Downs,QL
AU,GIC,Boigu Island Airport,Boigu Island,QL
AU,GKL,Great Keppel Island Airport,Great Keppel Island,QL
AU,GLG,Glengyle Airport,Glengyle,QL
AU,GLI,Glen Innes Airport,Glen Innes,NS
AU,GLM,Glenormiston Airport,Glenormiston,QL
AU,GLT,Gladstone Airport,Gladstone,QL
AU,GLY,Mount Goldsworthy Airport,Mount Goldsworthy,WA
AU,GOO,Goondiwindi Airport,Goondiwindi,QL
AU,GOS,Gosford Airport,Gosford,NS
AU,GOV,Nhulunbuy Gove Airport,Nhulunbuy,NT
AU,GPD,Mount Gordon Mine Airport,Mount Gordon Mine,QL
AU,GPN,Garden Point Airport,Garden Point,NT
AU,GSC,Gascoyne Junction Airport,Gascoyne Junction,WA
AU,GSN,Mount Gunson Airport,Mount Gunson,SA
AU,GTE,Groote Eylandt Airport,Groote Eylandt,NT
AU,GTS,The Granites Airport,The Granites,NT
AU,GTT,Georgetown Airport,Georgetown,QL
AU,GUH,Gunnedah Airport,Gunnedah,NS
AU,GUL,Goulburn Airport,Goulburn,NS
AU,GVP,Greenvale Airport,Greenvale,QL
AU,GYB,Wodgina Airport,Wodgina,WA
AU,GYL,Argyle Airport,Argyle,WA
AU,GYP,Gympie Airport,Gympie,QL
AU,GYZ,Gruyere Mine Site Airport,Gruyere,WA
AU,HAP,Long Island/Happy Bay Heliport,Long Island/Happy Bay,QL
AU,HAT,Heathlands Airport,Heathlands,QL
AU,HBA,Hobart International Airport,Hobart,TS
AU,HCQ,Halls Creek Airport,Halls Creek,WA
AU,HGD,Hughenden Airport,Hughenden,QL
AU,HID,Horn Island Airport,Horn Island,QL
AU,HIG,Highbury Airport,Highbury,QL
AU,HIH,Hook Island Heliport,Hook Island,QL
AU,HIP,Headingly Airport,Headingly,QL
AU,HIS,Hayman Island Heliport,Hayman Island,QL
AU,HLL,Hillside Airport,Hillside,WA
AU,HLS,St Helens Airport,St Helens,TS
AU,HLT,Hamilton Airport,Hamilton,VI
AU,HLV,Helenvale Airport,Helenvale,QL
AU,HMG,Hermannsburg Airport,Hermannsburg,NT
AU,HOK,Lajamanu Hooker Creek Airport,Lajamanu,NT
AU,HPE,Hopevale Airport,Hopevale,QL
AU,HRN,Heron Island Heliport,Heron Island,QL
AU,HRY,Henbury Airport,Henbury,NT
AU,HSM,Horsham Airport,Horsham,VI
